month,price_avg,price_extra,price_aa,price_a,price_b
2018-01,253,287,255,243,227
2018-02,245,279,247,232,219
2018-03,247,284,247,236,222
2018-04,246,287,247,235,218
2018-05,251,290,251,240,222
2018-06,250,289,251,237,223
2018-07,246,288,249,231,217
2018-08,256,302,259,240,224
2018-09,276,315,278,262,248
2018-10,284,321,283,274,261
2018-11,294,319,296,285,270
2018-12,297,328,300,285,271
2019-01,277,311,280,264,249
2019-02,285,328,288,269,253
2019-03,295,338,298,281,264
2019-04,303,339,305,293,273
2019-05,324,354,326,315,292
2019-06,326,362,328,314,300
2019-07,317,358,318,304,292
2019-08,305,360,307,288,268
2019-09,305,365,311,282,251
2019-10,297,361,298,278,248
2019-11,297,345,301,281,260
2019-12,308,366,310,291,266
2020-01,297,357,298,280,261
2020-02,287,373,288,261,237
2020-03,325,401,328,300,273
2020-04,410,455,420,386,366
2020-05,336,375,340,321,304
2020-06,277,361,276,254,234
2020-07,269,356,267,248,226
2020-08,262,348,259,243,222
2020-09,269,341,269,250,228
2020-10,286,340,287,271,251
2020-11,335,371,337,324,309
2020-12,345,387,348,331,308
2021-01,320,386,326,293,274
2021-02,304,391,311,272,243
2021-03,314,394,319,284,267
2021-04,337,384,340,321,303
2021-05,396,431,400,384,345
2021-06,446,483,452,430,399
2021-07,441,489,443,427,410
2021-08,379,442,380,359,335
2021-09,329,418,330,304,274
2021-10,341,436,342,314,290
2021-11,387,442,391,368,348
2021-12,424,451,426,414,395
2022-01,420,452,424,406,382
2022-02,442,492,446,424,391
2022-03,485,522,490,470,446
2022-04,488,522,494,472,458
2022-05,484,521,486,471,456
2022-06,470,524,475,450,428
2022-07,485,538,492,462,441
2022-08,504,556,506,486,470
2022-09,538,588,542,520,504
2022-10,550,600,554,533,508
2022-11,552,596,556,535,514
2022-12,548,598,548,533,516
2023-01,521,578,524,502,488
2023-02,516,608,515,493,455
2023-03,542,626,544,516,494
2023-04,542,618,545,516,500
2023-05,527,592,528,508,479
2023-06,535,599,540,512,482
2023-07,554,622,558,533,496
2023-08,548,626,552,522,482
2023-09,575,638,580,552,516
2023-10,580,634,585,560,535
2023-11,554,602,558,534,523
2023-12,520,581,522,500,484
2024-01,491,576,496,464,429
2024-02,469,558,476,436,402
2024-03,497,590,500,468,438
2024-04,468,556,472,439,418
2024-05,478,556,484,450,424
2024-06,475,549,474,458,412
2024-07,468,542,468,450,403
2024-08,462,542,464,440,395
2024-09,484,556,488,460,427
2024-10,458,541,460,432,402
2024-11,460,543,464,433,399
2024-12,442,501,450,418,394
2025-01,424,476,426,408,374
2025-02,438,516,446,406,374
2025-03,469,556,478,437,382
2025-04,477,560,482,451,396
2025-05,483,542,490,462,414
2025-06,482,530,487,464,428
2025-07,475,530,478,458,427
2025-08,471,549,474,446,416
2025-09,457,550,459,427,412
2025-10,439,538,440,411,372
2025-11,429,528,436,393,350
2025-12,442,532,452,408,345
2026-01,392,478,401,358,324
2026-02,419,512,430,379,352
2026-03,439,528,446,406,359
2026-04,483,556,495,450,415
2026-05,488,566,496,458,419
