lot,month,eggs,feed_price_kg,feed_source,feed_cost_egg,total_cost_egg,producer_price,wholesale_dane
G1,2017-01,97528,1137,estimated,139,216,,
G1,2017-02,77511,1131,estimated,136,224,,
G1,2017-03,77788,1128,estimated,137,225,,
G1,2017-04,76550,1098,estimated,135,224,,
G1,2017-05,94151,1111,estimated,138,217,,
G1,2017-06,74426,1104,estimated,135,225,,
G1,2017-07,91152,1127,estimated,138,219,,
G1,2017-08,71468,1091,estimated,133,226,,
G1,2017-09,70548,1088,estimated,138,231,,
G1,2017-10,87031,1105,estimated,142,225,,
G1,2017-11,68076,1115,estimated,147,242,,
G1,2017-12,66186,1118,estimated,151,248,,
G1,2018-01,78639,1119,estimated,157,250,226.0,253.0
G2,2018-05,78145,1218,estimated,139,232,224.0,251.0
G2,2018-06,81632,1173,estimated,136,227,223.0,250.0
G2,2018-07,102223,1146,estimated,136,217,219.0,246.0
G2,2018-08,80629,1157,estimated,140,231,228.0,256.0
G2,2018-09,79114,1150,estimated,140,233,246.0,276.0
G2,2018-10,97672,1171,estimated,143,226,253.0,284.0
G2,2018-11,74500,1183,estimated,151,246,262.0,294.0
G2,2018-12,91115,1194,estimated,152,237,265.0,297.0
G2,2019-01,72034,1185,estimated,152,255,247.0,277.0
G2,2019-02,70199,1173,estimated,154,259,254.0,285.0
G2,2019-03,67529,1162,estimated,157,264,263.0,295.0
G2,2019-04,79264,1156,estimated,163,261,270.0,303.0
G3,2019-11,76632,1215,estimated,150,223,265.0,297.0
G3,2019-12,98308,1221,estimated,150,216,275.0,308.0
G3,2020-01,78986,1225,estimated,151,227,265.0,297.0
G3,2020-02,78268,1229,estimated,153,230,256.0,287.0
G3,2020-03,97400,1214,invoice,152,222,290.0,325.0
G3,2020-04,76577,1275,invoice,160,237,366.0,410.0
G3,2020-05,74869,1244,estimated,160,237,300.0,336.0
G3,2020-06,90850,1275,invoice,168,240,247.0,277.0
G3,2020-07,71763,1259,invoice,168,246,240.0,269.0
G3,2020-08,85954,1241,invoice,170,242,234.0,262.0
G3,2020-09,65420,1235,invoice,175,259,240.0,269.0
G3,2020-10,61972,1283,invoice,192,276,255.0,286.0
G3,2020-11,78040,1264,invoice,188,276,299.0,335.0
G4,2019-11,67537,1215,estimated,159,232,265.0,297.0
G4,2019-12,88203,1221,estimated,156,222,275.0,308.0
G4,2020-01,68998,1225,estimated,157,233,265.0,297.0
G4,2020-02,67081,1229,estimated,162,239,256.0,287.0
G4,2020-03,87145,1214,invoice,153,223,290.0,325.0
G4,2020-04,68880,1275,invoice,161,238,366.0,410.0
G4,2020-05,67810,1244,estimated,158,236,300.0,336.0
G4,2020-06,84326,1275,invoice,163,234,247.0,277.0
G4,2020-07,66533,1259,invoice,163,242,240.0,269.0
G4,2020-08,80620,1241,invoice,166,239,234.0,262.0
G4,2020-09,54402,1235,invoice,189,273,240.0,269.0
G4,2020-10,58006,1283,invoice,181,265,255.0,286.0
G5,2021-07,86975,1705,invoice,206,308,393.0,441.0
G5,2021-08,75441,1708,invoice,207,317,338.0,379.0
G5,2021-09,93604,1708,invoice,211,309,293.0,329.0
G5,2021-10,74354,1720,invoice,214,325,304.0,341.0
G5,2021-11,73377,1750,invoice,214,326,345.0,387.0
G5,2021-12,91799,1762,invoice,215,314,378.0,424.0
G5,2022-01,72399,1811,invoice,224,349,374.0,420.0
G5,2022-02,71813,1811,invoice,226,351,394.0,442.0
G5,2022-03,88265,1870,invoice,236,347,432.0,485.0
G5,2022-04,69421,1958,invoice,249,377,435.0,488.0
G5,2022-05,68005,2047,invoice,262,391,432.0,484.0
G5,2022-06,76261,2080,invoice,296,417,419.0,470.0
G5,2022-07,57170,2080,invoice,311,448,432.0,485.0
G5,2022-08,52402,2132,invoice,341,449,449.0,504.0
G6,2022-08,42271,2132,invoice,288,396,449.0,504.0
G6,2022-09,39429,2140,invoice,261,442,480.0,538.0
