lot,line,week,date_start,date_end,hens,mortality,lay_rate_real,lay_rate_standard,eggs,feed_kg
G1,Hy-Line Brown,17,2016-11-21,2016-11-27,2899,1,0.01971123047356231,0.0,4,1320
G1,Hy-Line Brown,18,2016-11-28,2016-12-04,2899,0,0.2168235352091855,0.011,44,1172
G1,Hy-Line Brown,19,2016-12-05,2016-12-11,2899,0,0.4954417779529887,0.08199999999999999,451,1560
G1,Hy-Line Brown,20,2016-12-12,2016-12-18,2899,0,0.1836593899374168,0.308,3727,1740
G1,Hy-Line Brown,21,2016-12-19,2016-12-25,2899,0,0.4740550928891736,0.614,9620,1960
G1,Hy-Line Brown,22,2016-12-26,2017-01-01,2899,0,0.8228945941950427,0.8240000000000001,16699,2280
G1,Hy-Line Brown,23,2017-01-02,2017-01-08,2899,0,0.9442664958360025,0.9059999999999999,19162,2240
G1,Hy-Line Brown,24,2017-01-09,2017-01-15,2898,1,0.9634356164590406,0.932,19550,2480
G1,Hy-Line Brown,25,2017-01-16,2017-01-22,2898,0,0.961056886522725,0.9420000000000001,19496,2440
G1,Hy-Line Brown,26,2017-01-23,2017-01-29,2898,0,0.9681060830129152,0.946,19639,2360
G1,Hy-Line Brown,27,2017-01-30,2017-02-05,2898,0,0.9701764763876565,0.948,19681,2369
G1,Hy-Line Brown,28,2017-02-06,2017-02-12,2897,1,0.9676512648552691,0.948,19623,2380
G1,Hy-Line Brown,29,2017-02-13,2017-02-19,2897,0,0.9592682084915429,0.948,19453,2120
G1,Hy-Line Brown,30,2017-02-20,2017-02-26,2893,11,0.9432286658880373,0.948,19104,2440
G1,Hy-Line Brown,31,2017-02-27,2017-03-05,2886,0,0.9568854568854569,0.9470000000000001,19331,2400
G1,Hy-Line Brown,32,2017-03-06,2017-03-12,2886,0,0.9549549549549549,0.9470000000000001,19292,2380
G1,Hy-Line Brown,33,2017-03-13,2017-03-19,2886,0,0.967032967032967,0.946,19536,2380
G1,Hy-Line Brown,34,2017-03-20,2017-03-26,2886,0,0.9685179685179685,0.9440000000000001,19566,2340
G1,Hy-Line Brown,35,2017-03-27,2017-04-02,2884,2,0.9605270581728276,0.9420000000000001,19394,2380
G1,Hy-Line Brown,36,2017-04-03,2017-04-09,2883,1,0.957294631985524,0.94,19323,2380
G1,Hy-Line Brown,37,2017-04-10,2017-04-16,2883,0,0.9485654823844211,0.937,19143,2380
G1,Hy-Line Brown,38,2017-04-17,2017-04-23,2883,0,0.9459888013478023,0.935,19091,2380
G1,Hy-Line Brown,39,2017-04-24,2017-04-30,2875,9,0.9437037992154409,0.9329999999999999,18993,2300
G1,Hy-Line Brown,40,2017-05-01,2017-05-07,2873,1,0.9428345957597131,0.9309999999999999,18967,2380
G1,Hy-Line Brown,41,2017-05-08,2017-05-14,2873,0,0.9421709512207249,0.9279999999999999,18948,2380
G1,Hy-Line Brown,42,2017-05-15,2017-05-21,2872,1,0.9399718401312827,0.925,18900,2380
G1,Hy-Line Brown,43,2017-05-22,2017-05-28,2872,0,0.9298149621965777,0.9209999999999999,18693,2260
G1,Hy-Line Brown,44,2017-05-29,2017-06-04,2872,0,0.9273278949462793,0.9179999999999999,18643,2310
G1,Hy-Line Brown,45,2017-06-05,2017-06-11,2872,0,0.9349383207321925,0.915,18796,2290
G1,Hy-Line Brown,46,2017-06-12,2017-06-18,2872,0,0.9301134102666136,0.912,18699,2310
G1,Hy-Line Brown,47,2017-06-19,2017-06-25,2871,1,0.9204856446235757,0.909,18499,2250
G1,Hy-Line Brown,48,2017-06-26,2017-07-02,2871,0,0.9171518137035379,0.907,18432,2240
G1,Hy-Line Brown,49,2017-07-03,2017-07-09,2870,1,0.9192174573527452,0.904,18468,2240
G1,Hy-Line Brown,50,2017-07-10,2017-07-16,2869,2,0.912465581266229,0.9,18326,2240
G1,Hy-Line Brown,51,2017-07-17,2017-07-23,2868,0,0.9024706116756326,0.898,18118,2240
G1,Hy-Line Brown,52,2017-07-24,2017-07-30,2866,2,0.9054573620318003,0.895,18168,2240
G1,Hy-Line Brown,53,2017-07-31,2017-08-06,2865,1,0.9010323146587637,0.892,18072,2208
G1,Hy-Line Brown,54,2017-08-07,2017-08-13,2865,0,0.8922961854899027,0.89,17895,2184
G1,Hy-Line Brown,55,2017-08-14,2017-08-20,2865,0,0.8946397407130391,0.887,17942,2160
G1,Hy-Line Brown,56,2017-08-21,2017-08-27,2865,0,0.8883071553228622,0.884,17815,2184
G1,Hy-Line Brown,57,2017-08-28,2017-09-03,2864,2,0.8886659154808184,0.8809999999999999,17816,2208
G1,Hy-Line Brown,58,2017-09-04,2017-09-10,2863,0,0.8727608402774313,0.878,17491,2240
G1,Hy-Line Brown,59,2017-09-11,2017-09-17,2863,0,0.8844369043460906,0.875,17725,2240
G1,Hy-Line Brown,60,2017-09-18,2017-09-24,2863,0,0.8884287211217006,0.872,17805,2240
G1,Hy-Line Brown,61,2017-09-25,2017-10-01,2862,1,0.874687777547293,0.8690000000000001,17527,2240
G1,Hy-Line Brown,62,2017-10-02,2017-10-08,2862,0,0.8703703703703703,0.866,17437,2240
G1,Hy-Line Brown,63,2017-10-09,2017-10-15,2862,0,0.8680742737346511,0.863,17391,2240
G1,Hy-Line Brown,64,2017-10-16,2017-10-22,2862,0,0.8675751222921033,0.86,17381,2240
G1,Hy-Line Brown,65,2017-10-23,2017-10-29,2862,0,0.8611859838274931,0.857,17253,2240
G1,Hy-Line Brown,66,2017-10-30,2017-11-05,2861,1,0.8772656913167225,0.8540000000000001,17569,2240
G1,Hy-Line Brown,67,2017-11-06,2017-11-12,2861,0,0.8554950816397863,0.851,17133,2240
G1,Hy-Line Brown,68,2017-11-13,2017-11-19,2860,1,0.8516853646179057,0.848,17055,2240
G1,Hy-Line Brown,69,2017-11-20,2017-11-26,2860,0,0.852897102897103,0.845,17075,2240
G1,Hy-Line Brown,70,2017-11-27,2017-12-03,2860,0,0.83981018981019,0.8420000000000001,16813,2240
G1,Hy-Line Brown,71,2017-12-04,2017-12-10,2860,0,0.8368131868131867,0.8390000000000001,16753,2240
G1,Hy-Line Brown,72,2017-12-11,2017-12-17,2860,0,0.8260739260739262,0.836,16538,2240
G1,Hy-Line Brown,73,2017-12-18,2017-12-24,2859,1,0.8197034864401076,0.833,16408,2240
G1,Hy-Line Brown,74,2017-12-25,2017-12-31,2858,1,0.823856131023582,0.83,16487,2240
G1,Hy-Line Brown,75,2018-01-01,2018-01-07,2857,1,0.7592761898416824,0.8270000000000001,15188,2240
G1,Hy-Line Brown,76,2018-01-08,2018-01-14,2856,1,0.8084733893557423,0.8240000000000001,16163,2240
G1,Hy-Line Brown,77,2018-01-15,2018-01-21,2855,3,0.8008801734575062,0.821,16008,2240
G1,Hy-Line Brown,78,2018-01-22,2018-01-28,2851,2,0.7877436488450168,0.818,15721,2156
G1,Hy-Line Brown,79,2018-01-29,2018-02-04,2850,1,0.7798606125977869,0.815,15559,2156
G1,Hy-Line Brown,80,2018-02-05,2018-02-11,2848,2,0.7788959444010344,0.812,15532,2156
G1,Hy-Line Brown,81,2018-02-12,2018-02-18,2845,3,0.7223450545062268,0.0,14390,2156
G1,Hy-Line Brown,82,2018-02-19,2018-02-25,2843,3,0.30084586035554,0.0,5990,2076
